Time,Minerals,Vespene,Supply,Marauders,Action_ID
7290.0,45,784,14,0,4
7292.0,45,784,14,0,5
7294.0,45,784,14,0,6
7296.0,45,784,14,0,2
7298.0,45,784,14,0,2
7300.0,45,784,14,0,5
7302.0,45,784,14,0,6
7304.0,45,784,14,0,1
7306.0,45,784,14,0,6
7308.0,45,784,14,0,0
7310.0,45,784,14,0,6
7312.0,45,784,14,0,7
7314.0,45,784,14,0,6
7316.0,45,788,14,0,4
7318.0,45,788,14,0,6
7320.0,45,788,14,0,6
7322.0,45,788,14,0,2
7324.0,45,788,14,0,6
7326.0,45,788,14,0,1
7328.0,45,788,14,0,1
7330.0,45,788,14,0,4
7332.0,45,788,14,0,1
7334.0,45,788,14,0,0
7336.0,45,788,14,0,4
7338.0,45,788,14,0,6
7340.0,45,788,14,0,5
7342.0,45,788,14,0,7
7344.0,45,788,14,0,6
7346.0,45,788,14,0,6
7348.0,45,792,14,0,5
7350.0,45,792,14,0,7
7352.0,45,792,14,0,2
7354.0,45,792,14,0,1
7356.0,45,792,14,0,2
7358.0,45,792,14,0,2
7360.0,45,792,14,0,7
7362.0,45,792,14,0,6
7364.0,45,792,14,0,3
7366.0,45,792,14,0,7
7368.0,45,792,14,0,6
7370.0,45,792,14,0,2
7372.0,45,792,14,0,0
7374.0,45,792,14,0,3
7376.0,45,792,14,0,0
7378.0,45,792,14,0,2
7380.0,45,796,14,0,7
7382.0,45,796,14,0,4
7384.0,45,796,14,0,5
7386.0,45,796,14,0,0
7388.0,45,796,14,0,4
7390.0,45,796,14,0,1
7392.0,45,796,14,0,2
7394.0,45,796,14,0,6
7396.0,45,796,14,0,3
7398.0,45,796,14,0,1
7400.0,45,796,14,0,3
7402.0,45,796,14,0,7
7404.0,45,796,14,0,7
7406.0,45,796,14,0,6
7408.0,45,796,14,0,0
7410.0,45,796,14,0,5
7412.0,45,796,14,0,3
7414.0,45,800,14,0,5
7416.0,45,800,14,0,4
7418.0,45,800,14,0,3
7420.0,45,800,14,0,7
7422.0,45,800,14,0,3
7424.0,45,800,14,0,2
7426.0,45,800,14,0,5
7428.0,45,800,14,0,1
7430.0,45,800,14,0,1
7432.0,45,800,14,0,4
7434.0,45,800,14,0,2
7436.0,45,800,14,0,3
7438.0,45,800,14,0,5
7440.0,45,800,14,0,3
7442.0,45,800,14,0,0
7444.0,45,800,14,0,6
7446.0,45,804,14,0,2
7448.0,45,804,14,0,4
7450.0,45,804,14,0,2
7452.0,45,804,14,0,4
7454.0,45,804,14,0,0
